Elapsed,Well,Area,DaysSinceSeeding,Radius,Condition,CellLine
4,A7,1.120436e6,0.16666666666666666,597.1983386080555,M100:F0,1205LU
8,A7,847204.4,0.3333333333333333,519.3010072572617,M100:F0,1205LU
12,A7,652678.4,0.5,455.80038088906707,M100:F0,1205LU
16,A7,522077.7,0.6666666666666666,407.6548702837919,M100:F0,1205LU
20,A7,425089.4,0.8333333333333334,367.84529157233465,M100:F0,1205LU
24,A7,392795.5,1.0,353.5967914143243,M100:F0,1205LU
28,A7,358469.8,1.1666666666666667,337.79354824852146,M100:F0,1205LU
32,A7,344076.2,1.3333333333333333,330.94237574017507,M100:F0,1205LU
36,A7,321822.7,1.5,320.0614737958322,M100:F0,1205LU
40,A7,307440.0,1.6666666666666667,312.82773439761473,M100:F0,1205LU
44,A7,299019.9,1.8333333333333333,308.5141655348883,M100:F0,1205LU
48,A7,298945.6,2.0,308.47583359340325,M100:F0,1205LU
52,A7,300199.1,2.1666666666666665,309.1218875354451,M100:F0,1205LU
56,A7,304321.7,2.3333333333333335,311.2372177138488,M100:F0,1205LU
64,A7,313255.6,2.6666666666666665,315.7726308317981,M100:F0,1205LU
68,A7,317757.4,2.8333333333333335,318.03352311990204,M100:F0,1205LU
74,A7,329648.6,3.0833333333333335,323.9296348694357,M100:F0,1205LU
80,A7,340823.3,3.3333333333333335,329.37429443079486,M100:F0,1205LU
86,A7,356341.9,3.5833333333333335,336.7894737540289,M100:F0,1205LU
92,A7,375353.3,3.8333333333333335,345.6568619334936,M100:F0,1205LU
98,A7,395937.0,4.083333333333333,355.0079737216497,M100:F0,1205LU
104,A7,412884.0,4.333333333333333,362.5259425849524,M100:F0,1205LU
110,A7,433893.3,4.583333333333333,371.63493772640555,M100:F0,1205LU
116,A7,449043.6,4.833333333333333,378.0674770560933,M100:F0,1205LU
122,A7,466885.1,5.083333333333333,385.50504930792766,M100:F0,1205LU
128,A7,484123.0,5.333333333333333,392.55717676404197,M100:F0,1205LU
134,A7,491582.1,5.583333333333333,395.5697691950041,M100:F0,1205LU
140,A7,521616.6,5.833333333333333,407.47480974604537,M100:F0,1205LU
146,A7,539164.0,6.083333333333333,414.27192938261857,M100:F0,1205LU
152,A7,551418.9,6.333333333333333,418.95356222210484,M100:F0,1205LU
