OuterArea_tmp,NecroticArea_tmp,CellLine,DaysSinceSeeding,Condition,Radius,NecroticRadius
184420,50817,WM983b,10,M100:F0,301.1520823,158.0834382
187740,49250,WM983b,10,M100:F0,303.850719,155.6270119
199659,48403,WM983b,10,M100:F0,313.3475528,154.2829739
181797,40335,WM983b,10,M100:F0,299.0027741,140.8389868
183209,37669,WM983b,10,M100:F0,300.1616912,136.1049458
199213,48457,WM983b,10,M100:F0,312.9973779,154.3690115
188065,50761,WM983b,10,M100:F0,304.1136059,157.9963107
177587,45175,WM983b,10,M100:F0,295.520387,149.0496437
148058,28739,WM983b,10,M25:F75,269.8347017,118.8824339
121143,21158,WM983b,10,M25:F75,244.0793419,102.0044616
148325,28073,WM983b,10,M25:F75,270.077895,117.4968637
153214,21047,WM983b,10,M25:F75,274.492882,101.7365397
133458,21510,WM983b,10,M25:F75,256.1852773,102.8494721
142954,28166,WM983b,10,M25:F75,265.1429094,117.6913241
162393,20146,WM983b,10,M25:F75,282.595677,99.5351044
135889,15089,WM983b,10,M25:F75,258.508015,86.14143273
163555,38362,WM983b,10,M50:F50,283.6049288,137.3512076
170453,23152,WM983b,10,M50:F50,289.5237439,106.7028743
151643,22679,WM983b,10,M50:F50,273.0819814,105.607269
172489,34102,WM983b,10,M50:F50,291.2477398,129.5006018
164882,28050,WM983b,10,M50:F50,284.7531158,117.4487217
154074,34694,WM983b,10,M50:F50,275.262177,130.6198103
153102,35064,WM983b,10,M50:F50,274.392536,131.3144716
140683,31030,WM983b,10,M50:F50,263.0284174,123.5300876
157228,38448,WM983b,10,M75:F25,278.0653066,137.5050785
167808,27242,WM983b,10,M75:F25,287.2686227,115.7447646
178464,45465,WM983b,10,M75:F25,296.2491909,149.5272889
169737,37917,WM983b,10,M75:F25,288.9150214,136.5522454
174357,40423,WM983b,10,M75:F25,292.8205523,140.9925393
185145,45370,WM983b,10,M75:F25,301.7434528,149.3709872
193925,36089,WM983b,10,M75:F25,308.8152663,133.2199559
167057,29779,WM983b,10,M75:F25,286.6250877,121.0143622
81183,0,WM983b,2,M100:F0,199.808707,0
77172,0,WM983b,2,M100:F0,194.8102211,0
81499,0,WM983b,2,M100:F0,200.1972011,0
90610,0,WM983b,2,M100:F0,211.0911018,0
80578,0,WM983b,2,M100:F0,199.0627976,0
75663,0,WM983b,2,M100:F0,192.8961857,0
83364,0,WM983b,2,M100:F0,202.4748724,0
78945,0,WM983b,2,M100:F0,197.035362,0
53296,0,WM983b,2,M25:F75,161.8934094,0
52154,0,WM983b,2,M25:F75,160.1495316,0
56510,0,WM983b,2,M25:F75,166.7034221,0
54830,0,WM983b,2,M25:F75,164.206742,0
51889,0,WM983b,2,M25:F75,159.7421451,0
53944,0,WM983b,2,M25:F75,162.8746273,0
56742,0,WM983b,2,M25:F75,167.0452694,0
56053,0,WM983b,2,M25:F75,166.0279831,0
60293,0,WM983b,2,M50:F50,172.192927,0
60080,0,WM983b,2,M50:F50,171.8885007,0
64048,0,WM983b,2,M50:F50,177.4739633,0
64326,0,WM983b,2,M50:F50,177.8587086,0
61236,0,WM983b,2,M50:F50,173.5342762,0
59949,0,WM983b,2,M50:F50,171.7010034,0
60335,0,WM983b,2,M50:F50,172.2528912,0
65895,0,WM983b,2,M75:F25,180.0147504,0
64681,0,WM983b,2,M75:F25,178.3488135,0
69033,0,WM983b,2,M75:F25,184.2511618,0
67899,0,WM983b,2,M75:F25,182.7315553,0
74408,0,WM983b,2,M75:F25,191.2897401,0
66664,0,WM983b,2,M75:F25,181.062097,0
68408,0,WM983b,2,M75:F25,183.4151935,0
65363,0,WM983b,2,M75:F25,179.2866077,0
102237,0,WM983b,3,M100:F0,224.2259693,0
101090,37141,WM983b,3,M100:F0,222.9646226,0
108917,0,WM983b,3,M100:F0,231.4353511,0
96759,0,WM983b,3,M100:F0,218.1361015,0
100261,0,WM983b,3,M100:F0,222.0485173,0
88575,0,WM983b,3,M100:F0,208.707205,0
101273,0,WM983b,3,M100:F0,223.1663442,0
62378,0,WM983b,3,M25:F75,175.1449358,0
56204,0,WM983b,3,M25:F75,166.2514624,0
57867,0,WM983b,3,M25:F75,168.6931102,0
55741,0,WM983b,3,M25:F75,165.5652691,0
63708,0,WM983b,3,M25:F75,177.0022745,0
57340,0,WM983b,3,M25:F75,167.9232016,0
74845,0,WM983b,3,M50:F50,191.8506425,0
76803,0,WM983b,3,M50:F50,194.3439179,0
72246,0,WM983b,3,M50:F50,188.4901955,0
66946,0,WM983b,3,M50:F50,181.4446545,0
71031,0,WM983b,3,M50:F50,186.8985043,0
69516,0,WM983b,3,M50:F50,184.8946091,0
68521,0,WM983b,3,M75:F25,183.5666185,0
76675,0,WM983b,3,M75:F25,194.1819034,0
